scope,horizon_days,baseline,split_id,feature,imputer_median,scaler_mean_after_imputation,scaler_scale_after_imputation,missing_train,missing_test
development,20,B2,dev_02,vix_close,19.07,20.5503853809,8.28424473418,3,0
development,20,B2,dev_02,mkt_return_504d,0.256251996203,0.226829231591,0.282431763362,0,0
development,20,B2,dev_02,bear_state,0,0.204993667451,0.40369699498,0,0
development,20,B2,dev_02,mkt_variance_126d,7.46621231746e-05,0.000134508548991,0.00017699836736,0,0
development,20,B2,dev_02,bear_x_mkt_variance_126d,0,6.60440302812e-05,0.00018855349445,0,0
development,20,B2,dev_02,mkt_vol_percentile_126d,0.636247742484,0.611455520045,0.262515841492,0,0
development,20,B2,dev_02,mkt_return_1d,0.0007,0.000388203365298,0.0117592383744,0,0
development,20,B2,dev_02,mkt_return_5d,0.00326115538076,0.00189026697485,0.024889057028,0,0
development,20,B2,dev_02,mkt_return_20d,0.0126473043557,0.00751902247993,0.0470555583067,0,0
development,20,B2,dev_02,stress_rebound,0,0.00244581484385,0.0101268835883,0,0
development,20,B2,dev_02,loser_leg_return_5d,0.00206220911327,0.00149720217943,0.0355053202643,0,0
development,20,B2,dev_02,loser_leg_return_20d,0.00888113145895,0.00642642705567,0.0759842160792,0,0
development,20,B2,dev_02,loser_leg_vol_21d,0.00801070043308,0.0116280576192,0.00968704763197,0,0
development,20,B2,dev_02,loser_minus_winner_vol_21d,-0.000861957008071,0.000844521209526,0.00644517132537,0,0
development,20,B2,dev_02,formation_spread,0.185579244698,0.138428398406,0.32998819476,0,0
development,20,B2,dev_02,mom_mkt_beta_126d,0.159966993019,0.0654434036819,0.385106159939,0,0
development,20,B2,dev_02,mom_mkt_corr_126d,0.314883380378,0.159320942534,0.483332216408,0,0
development,20,B2,dev_02,beta_change_21d,-0.00301291949223,-0.00128286837503,0.0903050761443,0,0
